epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4482,4.4264,11.5083,0.00612,0,0,0,0,4.2098,6.73641,0.00492,0.0004,0.0004,0.0004
2,105.368,3.98532,6.29528,0.0036,0.00133,0.08633,0.00074,0.00014,3.90648,6.08755,0.00389,0.000803764,0.000803764,0.000803764
3,159.042,3.81127,5.16114,0.00294,0.00144,0.09353,0.0023,0.00071,3.99157,5.75802,0.00429,0.0011909,0.0011909,0.0011909
4,207.663,3.7968,4.65771,0.00296,0.03457,0.08633,0.01669,0.00286,4.33552,5.55156,0.00403,0.0015614,0.0015614,0.0015614
5,264.217,3.63321,4.04138,0.00281,0.25078,0.03597,0.03655,0.00862,3.79061,4.41169,0.00376,0.0018416,0.0018416,0.0018416
6,316.043,3.57626,3.76304,0.00263,0.29882,0.05036,0.04394,0.00831,4.31561,4.27706,0.00403,0.001802,0.001802,0.001802
7,367.176,3.57161,3.56405,0.00264,0.19846,0.05036,0.04529,0.01371,3.79801,3.67691,0.0036,0.0017624,0.0017624,0.0017624
8,424.113,3.6182,3.37265,0.0026,0.36546,0.06475,0.05402,0.0131,3.83197,3.48633,0.00371,0.0017228,0.0017228,0.0017228
9,480.734,3.47272,3.15486,0.00253,0.21679,0.07194,0.05384,0.02084,3.62768,3.30039,0.00357,0.0016832,0.0016832,0.0016832
10,540.179,3.35412,3.00534,0.00242,0.14612,0.09353,0.04862,0.01397,3.96235,3.32413,0.00373,0.0016436,0.0016436,0.0016436
11,583.071,3.48275,2.92566,0.00242,0.22276,0.08633,0.06506,0.01536,3.8224,3.25307,0.00362,0.001604,0.001604,0.001604
12,615.475,3.31737,2.70255,0.00235,0.20885,0.08633,0.07149,0.0241,3.72231,3.04649,0.0036,0.0015644,0.0015644,0.0015644
13,648.483,3.36361,2.72335,0.00234,0.29716,0.08633,0.06904,0.01713,3.61821,2.994,0.00361,0.0015248,0.0015248,0.0015248
14,681.753,3.35024,2.6282,0.00227,0.39298,0.10072,0.08471,0.02699,3.54687,2.9368,0.00321,0.0014852,0.0014852,0.0014852
15,715.601,3.29366,2.53441,0.00232,0.44459,0.09353,0.07762,0.01789,3.65506,3.01518,0.00339,0.0014456,0.0014456,0.0014456
16,750.752,3.25662,2.53033,0.00225,0.26535,0.10072,0.07886,0.01968,3.70366,3.01102,0.00371,0.001406,0.001406,0.001406
17,786.649,3.28995,2.50011,0.00228,0.3169,0.10791,0.09223,0.02357,3.53288,2.88951,0.00319,0.0013664,0.0013664,0.0013664
18,822.023,3.31198,2.43604,0.00229,0.33523,0.09353,0.09335,0.02684,3.5078,2.87307,0.00312,0.0013268,0.0013268,0.0013268
19,858.565,3.32506,2.43114,0.0023,0.42367,0.10072,0.09392,0.02684,3.53148,2.90012,0.00323,0.0012872,0.0012872,0.0012872
20,894.457,3.24709,2.40474,0.00231,0.19748,0.10072,0.08526,0.02714,3.46843,2.76091,0.00318,0.0012476,0.0012476,0.0012476
21,930.841,3.24544,2.35926,0.00218,0.29926,0.11064,0.1043,0.03123,3.5241,2.70918,0.00315,0.001208,0.001208,0.001208
22,988.617,3.18984,2.27952,0.00219,0.20829,0.1223,0.10769,0.03356,3.38552,2.63819,0.0031,0.0011684,0.0011684,0.0011684
23,1028.62,3.22703,2.29692,0.00217,0.23809,0.10344,0.10595,0.02908,3.56264,2.64882,0.00318,0.0011288,0.0011288,0.0011288
24,1064.91,3.20028,2.26577,0.00213,0.38062,0.11511,0.12517,0.03812,3.47221,2.59474,0.00315,0.0010892,0.0010892,0.0010892
25,1122.57,3.15544,2.23275,0.00213,0.28967,0.1295,0.11431,0.03206,3.47616,2.66743,0.00323,0.0010496,0.0010496,0.0010496
26,1163.41,3.16377,2.21828,0.00217,0.28974,0.1223,0.08679,0.02382,3.50887,2.81669,0.00328,0.00101,0.00101,0.00101
27,1201.49,3.24219,2.26204,0.00215,0.28937,0.10791,0.0747,0.02123,3.66187,2.74664,0.00351,0.0009704,0.0009704,0.0009704
28,1235.23,3.10856,2.15786,0.00209,0.24046,0.1223,0.11739,0.03751,3.41363,2.58249,0.00302,0.0009308,0.0009308,0.0009308
29,1274.5,3.1033,2.149,0.00204,0.26888,0.14388,0.12489,0.0342,3.42294,2.60071,0.00305,0.0008912,0.0008912,0.0008912
30,1329.7,3.05135,2.09388,0.00212,0.26498,0.13669,0.12269,0.03243,3.37038,2.63155,0.003,0.0008516,0.0008516,0.0008516
31,1369.4,3.21479,2.20334,0.00212,0.20057,0.15108,0.10328,0.0279,3.3224,2.62772,0.003,0.000812,0.000812,0.000812
32,1404.47,3.15171,2.11427,0.00216,0.20637,0.11511,0.08361,0.02299,3.35719,2.63829,0.00297,0.0007724,0.0007724,0.0007724
